tieu_de,noi_dung,nhan
Ngân hàng Agribank hoàn tiền dịp lễ,Đăng nhập để xác nhận giao dịch nhận thưởng...,0
Nhận quà từ tổ chức từ thiện quốc tế,Xác minh thông tin để nhận hỗ trợ tài chính...,0
Thuốc đông y giúp mọc lại tóc sau 7 ngày,Hiệu quả với mọi trường hợp hói đầu...,0
Bạn có khoản tiền thừa kế từ nước ngoài,Liên hệ ngay để hoàn tất thủ tục nhận tiền...,0
Nhận ngay 30 triệu từ chương trình khuyến học,Chỉ cần đăng ký trực tuyến trong hôm nay...,0
Ăn loại quả này giúp sống đến 120 tuổi,Bí quyết được nhiều người nổi tiếng áp dụng...,0
Thông báo xác minh tài khoản Zalo,Nếu không thực hiện sẽ bị khóa tài khoản...,0
Nhận trợ cấp thất nghiệp đặc biệt,Cập nhật thông tin ngân hàng để nhận tiền...,0
Thiết bị năng lượng lượng tử chữa mọi bệnh,Công nghệ tiên tiến chưa từng có trên thế giới...,0
Bạn vừa trúng xổ số quốc tế,Thanh toán phí xác minh để nhận giải thưởng...,0
Khoản hỗ trợ khẩn cấp từ Bộ Lao động,Đăng ký trực tuyến để được giải ngân ngay...,0
Thần dược giảm đường huyết sau 24 giờ,Không cần thuốc tây và không tái phát...,0
Nhận ưu đãi đầu tư từ quỹ nước ngoài,Lợi nhuận cam kết cao và an toàn tuyệt đối...,0
Thông báo khẩn từ cơ quan thuế,Xác nhận thông tin cá nhân để tránh bị phạt...,0
Bạn có cơ hội nhận căn hộ miễn phí,Tham gia chương trình đặc biệt ngay hôm nay...,0
Loại tinh dầu chữa khỏi mất ngủ chỉ sau 1 đêm,Hiệu quả được nhiều chuyên gia xác nhận...,0
Ngân hàng Techcombank hoàn tiền khách hàng VIP,Xác thực OTP để nhận khoản tiền hoàn trả...,0
Nhận tài trợ kinh doanh không cần thế chấp,Đăng ký trước khi chương trình kết thúc...,0
Thiết bị AI dự đoán chính xác tương lai,Đặt mua ngay để thay đổi cuộc sống...,0
Bạn được nhận hỗ trợ y tế miễn phí,Điền thông tin để đăng ký nhận quyền lợi...,0
Thuốc gia truyền trị dứt điểm bệnh gan,Hiệu quả chỉ sau một liệu trình duy nhất...,0
Nhận tiền thưởng từ chương trình an sinh xã hội,Xác minh tài khoản ngân hàng để nhận hỗ trợ...,0
Cơ hội đầu tư lợi nhuận 1000% trong một tháng,Số lượng người tham gia giới hạn...,0
Thông báo nâng cấp ví điện tử,Đăng nhập và nhập OTP để xác minh danh tính...,0
Loại thực phẩm chức năng giúp trẻ mãi không già,Được nhiều người nổi tiếng bí mật sử dụng...,0
Bạn có khoản hoàn phí bảo hiểm chưa nhận,Truy cập liên kết để hoàn tất hồ sơ...,0
Nhận học bổng toàn phần từ quỹ quốc tế,Thanh toán lệ phí xác minh để được xét duyệt...,0
"Xe tải tông nhau trên cao tốc Bãi Vọt - Hàm Nghi, hai người chết","Cú tông giữa hai xe tải chạy cùng chiều trên cao tốc Bãi Vọt - Hàm Nghi khiến ba người mắc kẹt trong cabin, hai nạn nhân tử vong, rạng sáng 8/6.",1
Công viên Lê Thị Riêng - nơi tìm mộ chiến sĩ hy sinh 58 năm trước,"Công viên ở trung tâm TP HCM rộng 8 ha với nhiều mảng xanh, đang là nơi tìm kiếm hố chôn chiến sĩ hy sinh trong cuộc tổng tấn công và nổi dậy Xuân Mậu Thân năm 1968.",1
Quảng Ninh nghìn năm thăng trầm,"Để có được thực thể hành chính thống nhất và phát triển như hiện nay, Quảng Ninh đã trải qua hàng nghìn năm thăng trầm với nhiều lần sáp nhập, đổi tên.",1
"Tàu hỏa tông xe ben, tài xế thoát nạn trong gang tấc","Ba giây trước khi tàu hỏa đâm trúng xe tải đang mắc kẹt trên đường ray ở xã Thường Tín, tài xế đã kịp nhảy ra ngoài, tối 7/6.",1
"Bùn rơi xuống đường ở Hà Nội, hai người bị ngã","Quá trình di chuyển trên đường Võ Chí Công, nam tài xế xe tải ben phanh gấp làm bùn rơi xuống đường, hai người đi xe máy bị ngã.",1
Công đoàn: Giảm giờ làm dưới 48 tiếng không kéo giảm năng suất lao động,"Đại diện người lao động kỳ vọng luật sửa đổi sớm quy định lộ trình giảm giờ làm trong doanh nghiệp xuống 40-44 tiếng, cân bằng đời sống góp phần tăng năng suất lao động.",1
Dỡ nhà xóa nút thắt đường dẫn vào cao tốc TP HCM - Long Thành,"Nhiều hộ tháo dỡ nhà, bàn giao mặt bằng để mở rộng đường Đỗ Xuân Hợp lên 6 làn xe, xoá nút thắt tuyến dẫn vào cao tốc TP HCM - Long Thành.",1
Đề xuất siết chặt quy định nhận con nuôi,"Bộ Tư pháp đề xuất kiểm soát chặt chẽ hơn việc nhận con nuôi nhằm tăng cường sàng lọc để bảo đảm lợi ích tốt nhất cho trẻ, hạn chế tách trẻ khỏi gia đình gốc.",1
"Không khí lạnh cuối mùa tràn xuống, miền Bắc mưa lớn","Sau nhiều ngày nắng nóng gay gắt, từ chiều tối mai miền Bắc đón đợt không khí lạnh cuối mùa khiến nhiệt độ giảm mạnh, nhiều nơi mưa to.",1
"Ôtô khách tông đuôi xe container trên cao tốc Phan Thiết, 19 người bị thương","Xe khách giường nằm chở 29 người chạy trên cao tốc Dầu Giây - Phan Thiết tông đuôi xe container, 19 người bị thương, sáng 7/6.",1
Bức ảnh 58 năm trước hé lộ dấu tích hố chôn liệt sĩ ở công viên Lê Thị Riêng,Bức ảnh chụp dịp Tết Mậu Thân năm 1968 cộng với lời kể nhiều điểm tương đồng của các nhân chứng về khả năng có hố chôn tập thể liệt sĩ ở công viên trung tâm TP HCM.,1
"Việt Nam, Pháp 'vẽ bức tranh di sản' bằng ánh sáng trên sông Hàn","Tối 6/6, bầu trời sông Hàn rực sáng với màn trình diễn của hai đội Pháp và Việt Nam 2 trong đêm thi thứ hai của Lễ hội pháo hoa quốc tế Đà Nẵng 2026 mang chủ đề ""Di sản"".",1
Hàng trăm ha rừng tràm Vườn quốc gia U Minh Hạ suy kiệt,"Khoảng 300 ha rừng tràm ở Vườn quốc gia U Minh Hạ bị suy giảm nghiêm trọng, nhiều cây chết, đổ ngã, nguy cơ chuyển sang hệ sinh thái khác nếu không được phục hồi.",1
Từ đường 145 tuổi trong bệnh viện ở TP HCM sau trùng tu,"Từ đường của người Triều Châu ở Chợ Lớn trong khuôn viên bệnh viện An Bình mang diện mạo mới, đậm nét kiến trúc người Hoa sau khi trùng tu.",1
Cháy trụ sở xã miền núi ở Đà Nẵng,"Đám cháy bùng phát tại trụ sở khối Đảng ủy, Mặt trận Tổ quốc và các đoàn thể xã Thượng Đức chiều 6/6, thiêu rụi 4 phòng làm việc và một phần hồ sơ, tài liệu.",1
Điều chỉnh mức hỗ trợ phục vụ với lãnh đạo từ 20/7,"Chính phủ nâng mức hỗ trợ phục vụ đối với nhiều chức danh lãnh đạo và tướng lĩnh quân đội, công an, trong đó mức cao nhất tăng từ 400.000 đồng lên 2,7 triệu đồng mỗi tháng.",1
"UAV xuất hiện gần Nội Bài, 16 chuyến bay bị ảnh hưởng","Một thiết bị bay không người lái xuất hiện gần khu vực sân bay Nội Bài sáng 6/6 khiến hoạt động cất cánh tạm gián đoạn gần một giờ, làm chậm khởi hành 16 chuyến bay.",1
Bí thư TP HCM: Thu một triệu tỷ đồng là phép thử với đầu tàu kinh tế,"Mục tiêu thu ngân sách một triệu tỷ đồng là phép thử năng lực đầu tàu kinh tế, giúp TP HCM có thêm nguồn lực phát triển, theo Bí thư Thành ủy Trần Lưu Quang.",1
Siêu nút giao nối cao tốc TP HCM - Long Thành và Biên Hòa - Vũng Tàu mở toàn bộ,"Nút giao Long Thành, kết nối cao tốc TP HCM - Long Thành - Dầu Giây với Biên Hòa - Vũng Tàu, được thông toàn bộ các nhánh từ 18h ngày 6/6.",1
"TP HCM sẽ thí điểm 5 phường, xã xã hội chủ nghĩa","Trong 5 năm tới, TP HCM sẽ thí điểm xây dựng ít nhất 5 phường, xã xã hội chủ nghĩa nhằm nâng chất lượng sống và phát huy vai trò người dân trong quản trị cộng đồng.",1
Nhánh xà cừ cổ thụ gãy đè người đi xe máy,"Nhánh xà cừ cổ thụ đường kính hơn 60 cm trên đường 21 Tháng 8, phường Phan Rang, bất ngờ gãy, đè người đàn ông đi xe máy bị thương nặng, sáng 6/6.",1
Phó thủ tướng: Không đánh đổi môi trường lấy tăng trưởng kinh tế đơn thuần,"Phó thủ tướng Hồ Quốc Dũng yêu cầu các bộ, ngành, địa phương thúc đẩy chuyển đổi xanh, phát triển kinh tế tuần hoàn và kinh tế biển xanh.",1
Đề xuất thu phí theo chặng trên xa lộ Hà Nội,"Nhà đầu tư muốn chuyển trạm thu phí xa lộ Hà Nội từ hình thức cố định sang tính theo quãng đường xe chạy, nhằm tránh tình trạng đi chặng ngắn vẫn trả như toàn tuyến.",1
"Xe đầu kéo tông xe công nông, 3 người chết","Xe đầu kéo tông xe công nông chở người dân đi rẫy trên đường Hồ Chí Minh, đoạn qua xã Cư Jút, khiến ba người chết, ba người bị thương, sáng 6/6.",1
Quạt Chàng Sơn: Vực dậy nghề thủ công bằng công nghệ,"Khi nghề làm quạt ở Chàng Sơn ngày càng mai một, nghệ nhân Nguyễn Quang Hồng tìm cách cùng con trai đưa công nghệ vào làm mới quy trình sản xuất, giúp vực dậy và phát triển nghề truyền thống.",1
Metro Thủ Dầu Một - TP HCM có thể được làm sớm hơn 5 năm,"TP HCM đề xuất khởi công tuyến metro Thủ Dầu Một - trung tâm thành phố cuối năm nay, hoàn thành năm 2030, sớm hơn 5 năm so với kế hoạch ban đầu.",1
Biệt thự cổ miền Tây loay hoay 'tìm đường sống',"Trong hàng trăm dinh thự cổ, chỉ một số căn được trùng tu bài bản, kết hợp làm du lịch giúp người dân có thu nhập ổn định để bảo tồn hiệu quả.",1
Đề xuất phòng chống kiệt sức tại nơi làm việc,"Tổng Liên đoàn Lao động Việt Nam kiến nghị sửa Bộ luật Lao động theo hướng bổ sung quy định chăm sóc sức khỏe tâm thần, phòng chống kiệt sức tại nơi làm việc và giảm áp lực cho người lao động.",1
TP HCM đề xuất xây trước 14 ga đường sắt Thủ Thiêm - Long Thành,"Thành phố đề xuất giai đoạn đầu xây 14 trong tổng số 18 ga trên tuyến đường sắt Thủ Thiêm - Long Thành, nhằm tối ưu chi phí và phù hợp nhu cầu khai thác.",1
Bụi mù mịt trên đại công trường Thủ đô,"Nhiều công trình giao thông, thoát nước ở Hà Nội đang trở thành nguồn phát tán bụi đất, gây ô nhiễm môi trường, ảnh hưởng đến đời sống người dân.",1
Nghi hóa chất lẫn trong bêtông gây đốm lửa trên sân nhà ở Sơn La,Nhà chức trách nhận định các đốm lửa xuất hiện trên sân bêtông của một hộ dân có thể do hóa chất còn sót lại trong vật chứa kim loại phản ứng với không khí.,1
Sẽ đào 4 rãnh tìm mộ tập thể liệt sĩ từ ảnh cựu binh Mỹ,"Lực lượng chức năng thống nhất đào 4 rãnh sâu khoảng 2 m trên đường Trường Chinh, nơi nghi có mộ tập thể 70-90 liệt sĩ hy sinh trong Tết Mậu Thân 1968.",1
"Tổng Bí thư, Chủ tịch nước: Cần thay đổi tư duy về người cao tuổi","Tổng Bí thư, Chủ tịch nước Tô Lâm đề nghị chuyển từ tư duy chăm sóc đơn thuần sang phát huy vai trò người cao tuổi, coi đây là chủ thể tham gia phát triển đất nước.",1
Hà Nội được đề xuất làm chủ đầu tư hai dự án đường sắt 37.000 tỷ đồng,"Bộ Xây dựng kiến nghị giao Hà Nội làm cơ quan chủ quản dự án đường sắt quốc gia phía Nam Thủ đô với tổng vốn hơn 37.000 tỷ đồng, tạo điều kiện di dời ga Hà Nội về tổ hợp ga Ngọc Hồi.",1
Nhiều gối cầu vành đai 3 ở Hà Nội trên cao bị xô lệch,"Ít nhất 4 trụ cầu vành đai 3 trên cao đoạn Mai Dịch - Thăng Long bị xô lệch gối cầu, phải chèn tạm bằng gỗ trong lúc chờ tìm giải pháp khắc phục triệt để.",1
Bí quyết giúp cô gái trút bỏ 42 kg mỡ thừa không cần ăn kiêng,"Nhờ kiên trì tập tạ tại nhà kết hợp đĩa ăn dinh dưỡng 211, Take, 32 tuổi, giảm ngoạn mục 42 kg trong 1,5 năm để sở hữu vóc dáng thon gọn.",1
Bác sĩ cảnh báo 6 sai lầm phổ biến khiến thận bị hủy hoại,"Bác sĩ cảnh báo 6 sai lầm như bỏ bê trễ khám, uống nước quá mức, sợ thuốc tây và lạm dụng thảo dược... khiến thận bị hủy hoại.",1
Áp lực cơm áo gạo tiền đè bẹp giấc mơ sinh con của nhiều người Nhật,Việc tỷ suất sinh tại Nhật Bản lao dốc xuống mức thấp kỷ lục phản ánh thực trạng bão giá và áp lực chi phí giáo dục đắt đỏ đang đè nặng khiến giới trẻ ngại sinh con.,1
5 đồ uống mùa hè tốt cho thận,"Một số đồ uống trong mùa hè như nước chanh, nước dừa và trà xanh chứa chất chống oxy hóa hoặc điện giải, hỗ trợ giảm viêm và góp phần bảo vệ thận.",1
Quan hệ tình dục mỗi ngày để tăng sinh lý?,"Tôi thấy nhiều người nói nam giới phải quan hệ tình dục hàng ngày mới khỏe, tăng cường sinh lý và bản lĩnh, liệu có đúng? (Tú, 30 tuổi, Hà Nội).",1
Muối thừa 'ẩn' trong thực phẩm chế biến sẵn gây hại sức khỏe,"Nhiều người cho rằng ăn mặn mới có nguy cơ nạp thừa muối, song chuyên gia khuyến cáo phần lớn lượng muối dư thừa đang ""ẩn mình"" trong các loại thực phẩm chế biến sẵn, gây hại cho sức khỏe.",1
Hoại tử ngón chân do tắc động mạch,"Bà Minh, 61 tuổi, đau nhức, lạnh buốt chân suốt một tháng, tự uống thuốc, nay hai ngón chân hoại tử do tắc động mạch, phải cắt bỏ.",1
Cụ ông 91 tuổi đột quỵ lần hai,"Ông Thanh, 91 tuổi, Việt kiều Mỹ, ba năm trước bị đột quỵ, nay tái phát được truyền thuốc tiêu sợi huyết kịp thời.",1
Tưởng hạch cổ hóa ung thư hạ hầu di căn,"Ông Jayden, 62 tuổi, nổi hạch hai bên cổ 6 tháng nhưng không sụt cân, không sốt, bác sĩ chẩn đoán ung thư hạ hầu giai đoạn 4.",1
Uống nhiều cà phê đá giải khát ngày nóng?,"Mỗi ngày, tôi đều uống một cốc cà phê. Khi nắng nóng, tôi tăng lên 2-3 cốc, kèm uống nhiều đá thay nước lọc được không? (Hoàng, 29 tuổi, Hà Nội).",1
Thái tử phi Na Uy chờ ghép phổi,Hoàng gia Na Uy thông báo Thái tử phi Mette-Marit được đưa vào danh sách chờ ghép phổi do mắc bệnh phổi mạn tính đe dọa đến tính mạng.,1
Vắt chanh vào hàu sống diệt vi khuẩn?,"Nhiều người nói chanh chứa axit mạnh, khi vắt vào hàu sống có thể giết vi khuẩn, giống như nấu chín, liệu có đúng không?(Hòa, 25 tuổi, Hà Nội).",1
5 món dùng thường xuyên giúp gan khỏe,"Bổ sung cà phê, trà xanh, yến mạch, gừng và hạt chia vào chế độ ăn có thể bảo vệ tế bào gan, giảm viêm và hỗ trợ duy trì chức năng gan.",1
Thí sinh thi đại học đổ xô đi thở oxy cao áp để nạp năng lượng cho não,"Trước kỳ thi đại học khốc liệt tại Trung Quốc, nhiều học sinh đến bệnh viện trải nghiệm buồng oxy cao áp để cải thiện trí nhớ, giảm áp lực thi cử, bất chấp những cảnh báo nguy hiểm từ chuyên gia y tế.",1
Vũ điệu tìm lại sự sống của cô gái 4 lần tái phát ung thư,"Không đầu hàng trước căn bệnh u xương ác tính vẫn đang gặm nhấm cơ thể, cô gái 24 tuổi chọn cách sống trọn từng phút giây, nhảy múa truyền cảm hứng cho mọi người.",1
5 thói quen buổi sáng giúp cơ thể khỏe mạnh khi về già,"Uống đủ nước, vận động nhẹ và ăn sáng lành mạnh sau khi thức dậy có thể giúp cơ thể khỏe mạnh hơn khi tuổi tác tăng lên.",1
Điều gì xảy ra với não bộ khi uống cà phê mỗi ngày?,"Uống cà phê mỗi ngày có thể giúp tỉnh táo hơn, nhưng não bộ cũng dần thích nghi với caffeine, ảnh hưởng đến giấc ngủ, tâm trạng và khả năng nhận thức.",1
Thế kẹt của bác sĩ ung thư,"Có những ca ung thư diễn tiến nhanh, vượt khỏi mọi dự báo chuyên môn, đẩy bác sĩ ung bướu vào thế kẹt khi vừa không còn nhiều cơ hội can thiệp, vừa phải cân nhắc nói sự thật đến đâu để người bệnh không sụp đổ.",1
5 món nên ăn sau tuổi 40 giúp xương chắc khỏe,"Ăn sữa chua, đậu phụ và cá hồi thường xuyên có thể hỗ trợ duy trì mật độ xương và giảm nguy cơ loãng xương, gãy xương sau tuổi 40.",1
4 nhóm cơ khỏe hơn nhờ đi bộ,"Đi bộ giúp tăng cường các nhóm cơ mắt cá chân, đầu gối, hông và cơ bụng, từ đó thúc đẩy sức khỏe tổng thể.",1
Paget sinh dục – dạng ung thư dễ bị bỏ sót,Paget sinh dục là một dạng ung thư biểu mô tuyến tiến triển chậm và dễ bị nhầm lẫn với các bệnh da liễu thông thường.,1
Nguyên nhân tổn thương gan ngoài rượu,"Nhiễm virus viêm gan, lạm dụng một số loại thuốc hoặc thực phẩm chức năng, cùng chế độ ăn nhiều đường kéo dài có thể góp phần gây tổn thương gan ngoài rượu bia.",1
Bị mèo cào 7 ngày tiêm vaccine có kịp không?,"Tôi bị mèo nhà nuôi cào vào ngực trầy da, chảy máu nhẹ. Mèo bỏ đi vào ngày thứ 7 nên không theo dõi được, tiêm vaccine dại có kịp không? (Phương Anh, 23 tuổi, Hải Phòng)",1
Cắt bao quy đầu có cải thiện sinh lý?,"Tôi bị dài bao quy đầu nhưng vẫn sinh hoạt vợ chồng bình thường. Cắt bao quy đầu có thể kéo dài thời gian quan hệ hơn không? (Trọng Tín, TP HCM)",1
Tiêm ngừa dại khi bị dơi cắn,"Đang làm rẫy thanh long, ông Trần Hùng, 55 tuổi, phường La Gi, Lâm Đồng, bị dơi sà xuống cắn chảy máu ở cánh tay, phải tiêm 5 mũi vaccine dại.",1
5 dấu hiệu trên da cảnh báo hội chứng buồng trứng đa nang,"Mụn trứng cá, da nhờn, rậm lông là những dấu hiệu thường xuất hiện trên da của phụ nữ mắc hội chứng buồng trứng đa nang.",1
Kinh nguyệt tiết lộ điều gì về sức khỏe?,"Chu kỳ kinh nguyệt đều đặn cho thấy nội tiết tố ổn định, trong khi rong kinh hoặc mất kinh có thể liên quan đến hội chứng buồng trứng đa nang, bệnh tuyến giáp.",1
4 chỉ số sức khỏe cần theo dõi để kiểm soát bệnh tim mạch,"Theo dõi huyết áp, cholesterol, đường huyết và nhịp tim lúc nghỉ giúp phản ánh sức khỏe tim mạch và phát hiện sớm các nguy cơ như xơ vữa động mạch, đau tim.",1
Các thời điểm trẻ nên khám sức khỏe tổng quát,"Khám sức khỏe cho trẻ sơ sinh, 2-6 tuổi, tiền dậy thì, thanh thiếu niên giúp theo dõi sự phát triển thể chất, tâm sinh lý, bệnh tiềm ẩn.",1
6 món ăn dễ tiêu hóa,"Khoai lang luộc, cá hồi, trứng và cơm trắng cung cấp năng lượng cùng các dưỡng chất cần thiết, dễ tiêu hóa, giúp giảm gánh nặng cho dạ dày.",1
Vì sao trẻ sơ sinh bị méo đầu?,"Trẻ sơ sinh bị méo đầu có thể do tư thế trong tử cung, sinh non hoặc nằm một tư thế quá lâu sau sinh khiến hộp sọ mềm dễ biến dạng.",1
Da nhạy cảm có nên triệt lông bằng laser?,"Da tôi khá nhạy cảm, dễ đỏ rát và từng bị viêm nang lông. Tôi có thể triệt lông bằng laser được không, có dễ kích ứng hay để lại thâm sẹo? (Linh Đan, 28 tuổi)",1
5 tình trạng sức khỏe có thể gây khô mắt kéo dài,"Ngoài tuổi tác và thói quen nhìn màn hình kéo dài, khô mắt còn có thể là dấu hiệu sớm của một số bệnh lý như đái tháo đường hoặc rối loạn tuyến giáp.",1
Lợi ích khi ăn protein vào bữa sáng,"Bữa sáng giàu protein giúp cung cấp năng lượng, tăng cảm giác no, hỗ trợ kiểm soát đường huyết và duy trì khối lượng cơ bắp.",1
U não lành tính có cần xạ trị?,"Anh tôi được chẩn đoán u não lành tính khoảng 1 cm, có cần xạ trị không? (Thế Dũng, 43 tuổi)",1
Cuộc sống 'ngập trong tiền' của các ông trùm mafia trước khi sa lưới,"Những trùm ma túy khét tiếng như 'Vua cocaine' Pablo Escobar thu về 70 triệu USD mỗi ngày, chất đầy tiền trong kho để chuột gặm và từng đốt 2 triệu USD tiền mới để sưởi ấm cho con gái.",1
"Đề xuất bỏ kiểm tra nghiệm thu phòng cháy chữa cháy với công trình, phương tiện","Theo Bộ Công an, thẩm định thiết kế và kiểm tra nghiệm thu phòng cháy chữa cháy bản chất là cùng một mục đích, làm cả hai là không cần thiết, gây tốn kém, lãng phí thời gian và nguồn lực.",1
"Tránh xe đi sai, đâm vào nhà bên đường, tôi có phải đền?","Tôi gặp xe đi sai nên phải đánh lái lên vỉa hè để tránh gây tai nạn về người, nhưng lại làm hỏng đồ đạc của nhà ven đường, có phải đền không?",1
Người đàn ông tưới xăng đốt tiệm giặt sấy,"Người đàn ông mang chai xăng vào tiệm giặt sấy, khiến hỏa hoạn bùng phát, bản thân bị bỏng nặng phải nhập viện cấp cứu.",1
Bà chủ Vải áo dài Đất Lành bị khởi tố vì dùng AI sao chép thiết kế,"Hoàng Thị Bích Ngọc, 40 tuổi, chủ thương hiệu Vải áo dài Đất Lành bị cáo buộc dùng AI sao chép mẫu thiết kế của thương hiệu khác để sản xuất, kinh doanh quy mô lớn.",1
"Hai thanh niên 'dương tính với ma túy' thông chốt, đâm ngã CSGT","Điều khiển xe máy khi đã sử dụng ma túy và rượu bia, Bùi Văn Đạt không chấp hành hiệu lệnh, đâm ngã trung tá cảnh sát giao thông.",1
Người ra tù có thể được vay 100% chi phí đi xuất khẩu lao động,"Bộ Công an đề xuất cho phạm nhân cải tạo xong được vay 100% chi phí đi xuất khẩu lao động, nếu dưới 200 triệu đồng mà không cần tài sản đảm bảo, lãi suất như với hộ nghèo.",1
Cựu trưởng Ban Tổ chức Tỉnh ủy ở miền Tây bị bắt,"Ông Võ Chí Công bị cáo buộc khi làm Trưởng Ban Tổ chức Tỉnh ủy Sóc Trăng đã cùng cấp dưới lập khống hồ sơ chứng từ quyết toán 3,8 tỷ đồng tiền chính sách.",1
Cựu lính thủy đánh bộ Mỹ tay không chống trả nhóm cầm súng cướp xe,Jheyco Borda cho rằng kinh nghiệm huấn luyện chiến đấu tay không trong thủy quân lục chiến đã cứu sống anh trong vụ cướp bất thành.,1
Sắp xét xử 5 người đầu tiên trong vụ án 'chết sau hai ngày' vào trung tâm công tác xã hội,"TAND tỉnh Quảng Ninh sẽ xét xử 5 bị cáo trong vụ án cố ý gây thương tích, liên quan cái chết của học viên trẻ mới vào Trung tâm công tác xã hội Hải Hà được hai ngày.",1
Người đàn ông Pháp 10 năm đòi tài sản vợ cũ nhờ gia đình đứng tên,"Được tòa tuyên hưởng một nửa khối tài sản gần 18 tỷ đồng, một phần đứng tên người thân của vợ cũ, song ông Dominique vẫn chưa nhận được tài sản sau 10 năm theo kiện.",1
Vướng mắc thủ tục hoàn thuế: Cần làm gì khi người phụ thuộc có hai mã số thuế?,"Do sức khỏe yếu, mẹ tôi nghỉ việc nhiều năm trước. Năm ngoái, khi đến tuổi nghỉ hưu, tôi mới đăng ký mẹ là người phụ thuộc.",1
Phút quyết định giúp tránh phá dỡ căn nhà 66 m2 xây nhầm trên đất hàng xóm,"Trước bản án buộc tháo dỡ một căn nhà xây nhầm trên đất người khác, chấp hành viên Đỗ Đình Hoàng trăn trở nhiều ngày giữa lựa chọn làm theo phán quyết hay tìm cách khác tốt hơn.",1
Bí ẩn người đàn ông bỏ chạy khỏi sân bay rồi biến mất suốt 12 năm,Kỳ nghỉ hè cùng bạn bè bên bờ Biển Đen năm 2014 của Lars Mittank khép lại bằng cuộc bỏ chạy khỏi sân bay và vụ mất tích chưa có lời giải.,1
Tài xế 'có nồng độ cồn' gây tai nạn liên hoàn ở Hà Nội bị khởi tố,"Tài xế Nguyễn Văn Sáu điều khiển ôtô khi có nồng độ cồn 0,264 mg/l khí thở, gây tai nạn liên hoàn trên phố Nguyễn Chánh khiến một phụ nữ tử vong.",1
Khiêng quan tài diễu phố trong tiệc sinh nhật,"Đám đông mang quan tài có chứa người sống trong tiệc sinh nhật, sau đó khiêng giễu phố ở phường Sóc Trăng.",1
Xưởng sản xuất hàng chục nghìn đôi dép 'hàng hiệu' ở TP HCM,"Đặng Phước Đạt, 30 tuổi và vợ Vũ Thị Thu Thủy, 27 tuổi, mở xưởng sản xuất dép 'hàng hiệu' giả như Nike, Adidas, Crocs, Gucci..., thu lợi hàng chục tỷ đồng.",1
"Hai cơ sở sản xuất, bán hàng hiệu giả quy mô lớn bị phát hiện ở Cần Thơ","Tiệm Thanh Dương Luxury sản xuất hàng nghìn đôi dép giả thương hiệu Hermes, Gucci, Burberry, LV, Dior, Versace...., bán qua mạng giá từ 600.000 đến 2,2 triệu đồng.",1
Xe nào buộc phải lắp ghế an toàn cho trẻ em từ 1/7?,"Khi chở trẻ em dưới 10 tuổi và chiều cao dưới 1,35 m trên ôtô, tài xế không được để ngồi cùng hàng ghế và phải sử dụng thiết bị an toàn phù hợp cho trẻ, trừ xe kinh doanh vận tải.",1
Đằng sau những khoản phạt khổng lồ trong các vụ kiện ở Mỹ,"Từ vụ kiện cốc cà phê nóng của McDonald's đến những án phạt hàng trăm triệu USD, đằng sau các khoản tiền phạt gây chú ý ở Mỹ là một cơ chế pháp lý đặc biệt nhằm trừng phạt và ngăn ngừa.",1
"Có thể 'bóc phốt' vợ cũ không chu cấp nuôi con, thường xuyên khoe ăn chơi?","Tôi được tòa tuyên trực tiếp nuôi dưỡng 2 con, vợ chu cấp 2 triệu đồng mỗi tháng nhưng cô ấy không thăm gặp, không gửi tiền, còn thường xuyên đăng ảnh ăn chơi sang chảnh.",1
Đề xuất thu hồi chứng chỉ luật sư trong nhiều trường hợp,"Luật sư không hành nghề 12 tháng, không còn đáp ứng tiêu chuẩn nghề nghiệp hoặc kiêm nhiệm một số chức danh tư pháp khác có thể bị thu hồi chứng chỉ.",1
Thêm hai người bị bắt trong vụ bờ kè đổ sau bão Yagi,Giám đốc doanh nghiệp và nguyên trưởng phòng quản lý đô thị bị cáo buộc sai phạm trong vụ bờ kè bị gãy đổ sau bão Yagi gây thiệt hại hơn 13 tỷ đồng.,1
Án mạng bế tắc 38 năm được phá nhờ con mắt tinh tường của thám tử,"Khi xem lại ảnh hiện trường vụ án cũ, thám tử phát hiện một chi tiết nhỏ đã bị bỏ qua, giúp tìm ra hung thủ sát hại thiếu nữ Janie Landers từ năm 1979.",1
"Phú bà phải bồi thường 176 triệu USD vì say rượu, tông chết 2 cậu bé","Bà Rebecca Grossman, người sáng lập quỹ từ thiện lớn, bị cáo buộc lái xe 130km/h, gần gấp đôi mức cho phép, sau khi say rượu và tông chết 2 bé trai đang đi bộ sang đường.",1
Ba mẹ con điều hành đường dây mua bán hơn 4.000 tài khoản ngân hàng,"Thu gom tài khoản ngân hàng của hàng trăm người, Nguyễn Tuyết Vũ Oanh cùng mẹ và em gái đã mua bán, cho thuê hơn 4.000 tài khoản phục vụ hoạt động phi pháp.",1
Người phụ nữ 37 tuổi đóng giả bé gái 12 tuổi để lừa đảo,"Kẻ lừa đảo sử dụng bình sữa, núm vú giả để đóng vai bé gái, nói dối bị ngược đãi nhằm thuyết phục một cặp vợ chồng cưu mang mình suốt 14 tháng.",1
Cụ ông 80 tuổi tử vong bất thường trong nhà,"Không liên lạc được với cụ ông 80 tuổi sống một mình, người thân đến nhà tìm thì phát hiện nạn nhân đã tử vong, hiện trường có nhiều máu, đồ đạc xáo trộn.",1
